ut	field	country	funder_id	funder	Type	country_funder
000300654600009	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000328418500009	Food science	DK	667	EU	Public	Supranational
000399990200044	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000333908600012	Food science	DK	373	Danish Food Industry Agency	Public	DK
000333908600012	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000333908600012	Food science	DK	403	Danish Ministry of Science, Technology and Innovation	Public	DK
000333908600012	Food science	DK	667	EU	Public	Supranational
000333908600012	Food science	DK	1879	Shell	Private	NL
000346954500017	Energy	DK	2398	Aarhus University	University	DK
000274268400017	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000384910500042	Energy	DK	789	Fundamental Research Funds for Central Universities of China	Public	Other
000384910500042	Energy	DK	1464	National natural science foundation of China	Public	Other
000384910500042	Energy	DK	1921	State key laboratories	mixed	Other
000329169900006	Food science	DK	406	Danish National Advanced Technology Foundation	Public	DK
