"yr","cluster_id","full_name","n_pubs","n_cits","country","field","cum_cit","cum_pub","total_cit","total_pub","cum_pct_cit","cum_pct_pub"
2011,44810329,"colwell, rk",4,1045,"Denmark","Biology",6952,64,19896,101,0.349,0.634
2012,44810329,"colwell, rk",4,1196,"Denmark","Biology",8148,68,19896,101,0.41,0.673
2013,44810329,"colwell, rk",3,1359,"Denmark","Biology",9507,71,19896,101,0.478,0.703
2014,44810329,"colwell, rk",7,1350,"Denmark","Biology",10857,78,19896,101,0.546,0.772
2015,44810329,"colwell, rk",5,1492,"Denmark","Biology",12349,83,19896,101,0.621,0.822
2016,44810329,"colwell, rk",4,1721,"Denmark","Biology",14070,87,19896,101,0.707,0.861
2017,44810329,"colwell, rk",9,1802,"Denmark","Biology",15872,96,19896,101,0.798,0.95
2018,44810329,"colwell, rk",5,1887,"Denmark","Biology",17759,101,19896,101,0.893,1
2019,44810329,"colwell, rk",0,2137,"Denmark","Biology",19896,101,19896,101,1,1
1980,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1981,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1982,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1983,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1984,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1985,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1986,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1987,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1988,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1989,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1990,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1991,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1992,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1993,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1994,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1995,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1996,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1997,45330998,"novoselov, ks",0,0,"United Kingdom","Physics",0,0,182751,291,0,0
1998,45330998,"novoselov, ks",2,0,"United Kingdom","Physics",0,2,182751,291,0,0.007
1999,45330998,"novoselov, ks",1,0,"United Kingdom","Physics",0,3,182751,291,0,0.01
2000,45330998,"novoselov, ks",4,5,"United Kingdom","Physics",5,7,182751,291,0,0.024
2001,45330998,"novoselov, ks",1,21,"United Kingdom","Physics",26,8,182751,291,0,0.027
2002,45330998,"novoselov, ks",6,43,"United Kingdom","Physics",69,14,182751,291,0,0.048
2003,45330998,"novoselov, ks",3,35,"United Kingdom","Physics",104,17,182751,291,0.001,0.058
2004,45330998,"novoselov, ks",3,47,"United Kingdom","Physics",151,20,182751,291,0.001,0.069
2005,45330998,"novoselov, ks",5,119,"United Kingdom","Physics",270,25,182751,291,0.001,0.086
2006,45330998,"novoselov, ks",7,425,"United Kingdom","Physics",695,32,182751,291,0.004,0.11
2007,45330998,"novoselov, ks",16,1572,"United Kingdom","Physics",2267,48,182751,291,0.012,0.165
2008,45330998,"novoselov, ks",14,3485,"United Kingdom","Physics",5752,62,182751,291,0.031,0.213
2009,45330998,"novoselov, ks",17,5702,"United Kingdom","Physics",11454,79,182751,291,0.063,0.271
2010,45330998,"novoselov, ks",16,8713,"United Kingdom","Physics",20167,95,182751,291,0.11,0.326
2011,45330998,"novoselov, ks",28,11469,"United Kingdom","Physics",31636,123,182751,291,0.173,0.423
2012,45330998,"novoselov, ks",24,14444,"United Kingdom","Physics",46080,147,182751,291,0.252,0.505
2013,45330998,"novoselov, ks",21,16594,"United Kingdom","Physics",62674,168,182751,291,0.343,0.577
2014,45330998,"novoselov, ks",25,18669,"United Kingdom","Physics",81343,193,182751,291,0.445,0.663
2015,45330998,"novoselov, ks",22,19575,"United Kingdom","Physics",100918,215,182751,291,0.552,0.739
2016,45330998,"novoselov, ks",24,20421,"United Kingdom","Physics",121339,239,182751,291,0.664,0.821
2017,45330998,"novoselov, ks",21,20997,"United Kingdom","Physics",142336,260,182751,291,0.779,0.893
2018,45330998,"novoselov, ks",21,20535,"United Kingdom","Physics",162871,281,182751,291,0.891,0.966
2019,45330998,"novoselov, ks",10,19880,"United Kingdom","Physics",182751,291,182751,291,1,1
1980,47219508,"oswald, aj",0,0,"United Kingdom","Economics",0,0,9735,109,0,0
1981,47219508,"oswald, aj",3,0,"United Kingdom","Economics",0,3,9735,109,0,0.028
1982,47219508,"oswald, aj",3,5,"United Kingdom","Economics",5,6,9735,109,0.001,0.055
1983,47219508,"oswald, aj",3,5,"United Kingdom","Economics",10,9,9735,109,0.001,0.083
1984,47219508,"oswald, aj",2,13,"United Kingdom","Economics",23,11,9735,109,0.002,0.101
1985,47219508,"oswald, aj",3,25,"United Kingdom","Economics",48,14,9735,109,0.005,0.128
1986,47219508,"oswald, aj",4,24,"United Kingdom","Economics",72,18,9735,109,0.007,0.165
1987,47219508,"oswald, aj",5,58,"United Kingdom","Economics",130,23,9735,109,0.013,0.211
1988,47219508,"oswald, aj",3,67,"United Kingdom","Economics",197,26,9735,109,0.02,0.239
1989,47219508,"oswald, aj",1,54,"United Kingdom","Economics",251,27,9735,109,0.026,0.248
1990,47219508,"oswald, aj",3,80,"United Kingdom","Economics",331,30,9735,109,0.034,0.275
1991,47219508,"oswald, aj",4,79,"United Kingdom","Economics",410,34,9735,109,0.042,0.312
1992,47219508,"oswald, aj",2,62,"United Kingdom","Economics",472,36,9735,109,0.048,0.33
1993,47219508,"oswald, aj",2,73,"United Kingdom","Economics",545,38,9735,109,0.056,0.349
1994,47219508,"oswald, aj",2,55,"United Kingdom","Economics",600,40,9735,109,0.062,0.367
1995,47219508,"oswald, aj",2,61,"United Kingdom","Economics",661,42,9735,109,0.068,0.385
1996,47219508,"oswald, aj",3,45,"United Kingdom","Economics",706,45,9735,109,0.073,0.413
1997,47219508,"oswald, aj",3,71,"United Kingdom","Economics",777,48,9735,109,0.08,0.44
1998,47219508,"oswald, aj",3,75,"United Kingdom","Economics",852,51,9735,109,0.088,0.468
1999,47219508,"oswald, aj",0,68,"United Kingdom","Economics",920,51,9735,109,0.095,0.468
2000,47219508,"oswald, aj",1,88,"United Kingdom","Economics",1008,52,9735,109,0.104,0.477
2001,47219508,"oswald, aj",2,124,"United Kingdom","Economics",1132,54,9735,109,0.116,0.495
2002,47219508,"oswald, aj",1,127,"United Kingdom","Economics",1259,55,9735,109,0.129,0.505
2003,47219508,"oswald, aj",2,134,"United Kingdom","Economics",1393,57,9735,109,0.143,0.523
2004,47219508,"oswald, aj",4,171,"United Kingdom","Economics",1564,61,9735,109,0.161,0.56
2005,47219508,"oswald, aj",2,206,"United Kingdom","Economics",1770,63,9735,109,0.182,0.578
2006,47219508,"oswald, aj",2,227,"United Kingdom","Economics",1997,65,9735,109,0.205,0.596
2007,47219508,"oswald, aj",4,242,"United Kingdom","Economics",2239,69,9735,109,0.23,0.633
2008,47219508,"oswald, aj",7,424,"United Kingdom","Economics",2663,76,9735,109,0.274,0.697
2009,47219508,"oswald, aj",3,399,"United Kingdom","Economics",3062,79,9735,109,0.315,0.725
2010,47219508,"oswald, aj",5,521,"United Kingdom","Economics",3583,84,9735,109,0.368,0.771
2011,47219508,"oswald, aj",4,543,"United Kingdom","Economics",4126,88,9735,109,0.424,0.807
2012,47219508,"oswald, aj",4,642,"United Kingdom","Economics",4768,92,9735,109,0.49,0.844
2013,47219508,"oswald, aj",2,725,"United Kingdom","Economics",5493,94,9735,109,0.564,0.862
2014,47219508,"oswald, aj",2,723,"United Kingdom","Economics",6216,96,9735,109,0.639,0.881
2015,47219508,"oswald, aj",3,651,"United Kingdom","Economics",6867,99,9735,109,0.705,0.908
2016,47219508,"oswald, aj",3,704,"United Kingdom","Economics",7571,102,9735,109,0.778,0.936
2017,47219508,"oswald, aj",3,665,"United Kingdom","Economics",8236,105,9735,109,0.846,0.963
2018,47219508,"oswald, aj",3,718,"United Kingdom","Economics",8954,108,9735,109,0.92,0.991
2019,47219508,"oswald, aj",1,781,"United Kingdom","Economics",9735,109,9735,109,1,1
