yr,cluster_id,full_name,country,field,indicator,value
2014,10849200,"johansen, s",Denmark,Economics,cum_cit,10497
2015,10849200,"johansen, s",Denmark,Economics,cum_cit,11189
2016,10849200,"johansen, s",Denmark,Economics,cum_cit,11882
2017,10849200,"johansen, s",Denmark,Economics,cum_cit,12582
2018,10849200,"johansen, s",Denmark,Economics,cum_cit,13235
2019,10849200,"johansen, s",Denmark,Economics,cum_cit,13982
1980,13283063,"araujo, mb",NA,NA,cum_cit,0
1981,13283063,"araujo, mb",NA,NA,cum_cit,0
1982,13283063,"araujo, mb",NA,NA,cum_cit,0
1983,13283063,"araujo, mb",NA,NA,cum_cit,0
1984,13283063,"araujo, mb",NA,NA,cum_cit,0
1985,13283063,"araujo, mb",NA,NA,cum_cit,0
1986,13283063,"araujo, mb",NA,NA,cum_cit,0
1987,13283063,"araujo, mb",NA,NA,cum_cit,0
1988,13283063,"araujo, mb",NA,NA,cum_cit,0
1989,13283063,"araujo, mb",NA,NA,cum_cit,0
1990,13283063,"araujo, mb",NA,NA,cum_cit,0
1991,13283063,"araujo, mb",NA,NA,cum_cit,0
1992,13283063,"araujo, mb",NA,NA,cum_cit,0
1993,13283063,"araujo, mb",NA,NA,cum_cit,0
1994,13283063,"araujo, mb",NA,NA,cum_cit,0
1995,13283063,"araujo, mb",NA,NA,cum_cit,0
1996,13283063,"araujo, mb",NA,NA,cum_cit,0
1997,13283063,"araujo, mb",NA,NA,cum_cit,0
1998,13283063,"araujo, mb",NA,NA,cum_cit,0
1999,13283063,"araujo, mb",NA,NA,cum_cit,0
2000,13283063,"araujo, mb",NA,NA,cum_cit,1
2001,13283063,"araujo, mb",NA,NA,cum_cit,10
2002,13283063,"araujo, mb",NA,NA,cum_cit,42
2003,13283063,"araujo, mb",NA,NA,cum_cit,77
2004,13283063,"araujo, mb",NA,NA,cum_cit,158
2005,13283063,"araujo, mb",NA,NA,cum_cit,314
2006,13283063,"araujo, mb",NA,NA,cum_cit,789
2007,13283063,"araujo, mb",NA,NA,cum_cit,1430
2008,13283063,"araujo, mb",NA,NA,cum_cit,2358
